BCC,12-13,32,293,9.16,11-12,34,211,6.21,Total,9.4
H20,12-13,0,0,0,11-12,0,0,0,Total,0
BLE,12-13,30,135,4.5,11-12,4,3,0.75,Total,3.9
BJU,12-13,0,0,0,11-12,0,0,0,Total,0
H05,12-13,0,0,0,11-12,0,0,0,Total,0
H37,12-13,0,0,0,11-12,0,0,0,Total,0
BLI,12-13,0,0,0,11-12,0,0,0,Total,0
Y1J,12-13,17,65,3.82,11-12,7,-11,-1.57,Total,3.2
SFP,12-13,0,0,0,11-12,0,0,0,Total,0
B6L,12-13,27,59,2.19,11-12,24,64,2.67,Total,2.4
Y7M,12-13,20,53,2.65,11-12,24,20,0.83,Total,1.7
765,12-13,23,75,3.26,11-12,5,22,4.4,Total,3
BA6,12-13,34,89,2.62,11-12,28,37,1.32,Total,1.7
XC5,12-13,0,0,0,11-12,0,0,0,Total,0
T86,12-13,11,-2,-0.18,11-12,6,3,0.5,Total,0.1
800,12-13,0,0,0,11-12,0,0,0,Total,0
82D,12-13,0,0,0,11-12,0,0,0,Total,0
SHP,12-13,0,0,0,11-12,0,0,0,Total,0
A05,12-13,0,0,0,11-12,0,0,0,Total,0
FII,12-13,0,0,0,11-12,0,0,0,Total,0
236,12-13,0,0,0,11-12,0,0,0,Total,0
17T,12-13,0,0,0,11-12,0,0,0,Total,0
